title,speaker,date,rated_bool,ratings,duration,url
Why I fell in love with monster prime numbers,Adam Spencer,Sep 2013,True,"Funny, Fascinating",17:17,https://www.ted.com/talks/adam_spencer_why_i_fell_in_love_with_monster_prime_numbers
A taboo-free way to talk about periods,Aditi Gupta,Apr 2016,True,"Informative, Inspiring",11:10,https://www.ted.com/talks/aditi_gupta_a_taboo_free_way_to_talk_about_periods
A second opinion on developmental disorders,Aditi Shankardass,Jun 2010,True,"Informative, Inspiring",9:01,https://www.ted.com/talks/aditi_shankardass_a_second_opinion_on_learning_disorders
How I use art to bridge misunderstanding,Adong Judith,Mar 2018,True,"Inspiring, Persuasive",5:00,https://www.ted.com/talks/adong_judith_how_i_use_art_to_bridge_misunderstanding
What adults can learn from kids,Adora Svitak,Apr 2010,True,"Inspiring, Courageous",8:12,https://www.ted.com/talks/adora_svitak
Three myths about corruption,Afra Raymond,Feb 2013,True,"Courageous, Informative",18:09,https://www.ted.com/talks/afra_raymond_three_myths_about_corruption
"A modern take on piano, violin, cello",Ahn Trio,Feb 2011,True,"Beautiful, Inspiring",9:25,https://www.ted.com/talks/ahn_trio_a_modern_take_on_piano_violin_cello
Changing my legs - and my mindset,Aimee Mullins,Jan 2009,True,"Inspiring, Courageous",22:25,https://www.ted.com/talks/aimee_mullins_on_running
My 12 pairs of legs,Aimee Mullins,Mar 2009,True,"Inspiring, Beautiful",9:58,https://www.ted.com/talks/aimee_mullins_prosthetic_aesthetics
The opportunity of adversity,Aimee Mullins,Feb 2010,True,"Inspiring, Courageous",21:58,https://www.ted.com/talks/aimee_mullins_the_opportunity_of_adversity
How healthy living nearly killed me,AJ Jacobs,Jan 2012,True,"Funny, Informative",8:42,https://www.ted.com/talks/aj_jacobs_how_healthy_living_nearly_killed_me
The world's largest family reunion ... we're all invited!,AJ Jacobs,Jun 2014,True,"Funny, Fascinating",9:45,https://www.ted.com/talks/aj_jacobs_the_world_s_largest_family_reunion_we_re_all_invited
A word game to communicate in any language,Ajit Narayanan,Mar 2014,True,"Inspiring, Fascinating",15:43,https://www.ted.com/talks/ajit_narayanan_a_word_game_to_communicate_in_any_language
Averting the climate crisis,Al Gore,Jun 2006,True,"Funny, Informative",16:17,https://www.ted.com/talks/al_gore_on_averting_climate_crisis
New thinking on the climate crisis,Al Gore,Apr 2008,True,"Inspiring, Persuasive",27:54,https://www.ted.com/talks/al_gore_s_new_thinking_on_the_climate_crisis
The case for optimism on climate change,Al Gore,Feb 2016,True,"Inspiring, Informative",25:20,https://www.ted.com/talks/al_gore_the_case_for_optimism_on_climate_change
What comes after An Inconvenient Truth?,Al Gore,May 2009,True,"Informative, Persuasive",7:44,https://www.ted.com/talks/al_gore_warns_on_latest_climate_trends
Visual illusions that show how we (mis)think,Al Seckel,Apr 2007,True,"Fascinating, Funny",14:33,https://www.ted.com/talks/al_seckel_says_our_brains_are_mis_wired
Sex needs a new metaphor. Here's one ...,Al Vernacchio,Jul 2013,True,"Funny, Persuasive",8:21,https://www.ted.com/talks/al_vernacchio_sex_needs_a_new_metaphor_here_s_one
What my religion really says about women,Alaa Murabit,Jul 2015,True,"Inspiring, Courageous",12:13,https://www.ted.com/talks/alaa_murabit_what_my_religion_really_says_about_women
"A kinder, gentler philosophy of success",Alain de Botton,Jul 2009,True,"Inspiring, Persuasive",16:51,https://www.ted.com/talks/alain_de_botton_a_kinder_gentler_philosophy_of_success
Atheism 2.0,Alain de Botton,Jan 2012,True,"Inspiring, Persuasive",19:20,https://www.ted.com/talks/alain_de_botton_atheism_2_0
I leapt from the stratosphere. Here's how I did it,Alan Eustace,Sep 2015,True,"Courageous, Inspiring",14:28,https://www.ted.com/talks/alan_eustace_i_leapt_from_the_stratosphere_here_s_how_i_did_it
A powerful idea about ideas,Alan Kay,Mar 2008,True,"Inspiring, Informative",20:37,https://www.ted.com/talks/alan_kay_shares_a_powerful_idea_about_ideas
The potential of regenerative medicine,Alan Russell,Jul 2007,True,"Fascinating, Informative",19:25,https://www.ted.com/talks/alan_russell_on_regenerating_our_bodies
Let's simplify legal jargon!,Alan Siegel,Mar 2010,True,"Persuasive, Informative",4:26,https://www.ted.com/talks/alan_siegel_let_s_simplify_legal_jargon
Why you should love statistics,Alan Smith,Jan 2017,True,"Informative, Fascinating",12:49,https://www.ted.com/talks/alan_smith_why_we_re_so_bad_at_statistics
How I'm preparing to get Alzheimer's,Alanna Shaikh,Jul 2012,True,"Inspiring, Courageous",6:26,https://www.ted.com/talks/alanna_shaikh_how_i_m_preparing_to_get_alzheimer_s
How fake handbags fund terrorism and organized crime,Alastair Gray,Dec 2017,True,"Informative, Persuasive",12:02,https://www.ted.com/talks/alastair_gray_how_fake_handbags_fund_terrorism_and_organized_crime
Architecture for the people by the people,Alastair Parvin,May 2013,True,"Inspiring, Ingenious",13:11,https://www.ted.com/talks/alastair_parvin_architecture_for_the_people_by_the_people
There are no scraps of men,Alberto Cairo,Dec 2011,True,"Inspiring, Courageous",19:02,https://www.ted.com/talks/alberto_cairo_there_are_no_scraps_of_men
This is what enduring love looks like,Stacey Baker and Alec Soth,Jul 2015,True,"Beautiful, Inspiring",10:18,https://www.ted.com/talks/alec_soth_stacey_baker_this_is_what_enduring_love_looks_like
My architectural philosophy? Bring the community into the process,Alejandro Aravena,Nov 2014,True,"Inspiring, Ingenious",15:49,https://www.ted.com/talks/alejandro_aravena_my_architectural_philosophy_bring_the_community_into_the_process
"To solve old problems, study new species",Alejandro Sánchez Alvarado,Jan 2017,True,"Inspiring, Informative",12:39,https://www.ted.com/talks/alejandro_sanchez_alvarado_to_solve_old_problems_study_new_species
Let's bridge the digital divide!,Aleph Molinari,Feb 2012,True,"Inspiring, Informative",9:54,https://www.ted.com/talks/aleph_molinari_let_s_bridge_the_digital_divide
It’s our city. Let’s fix it,Alessandra Orofino,Nov 2014,True,"Inspiring, Informative",15:15,https://www.ted.com/talks/alessandra_orofino_it_s_our_city_let_s_fix_it
What will a future without secrets look like?,Alessandro Acquisti,Oct 2013,True,"Informative, Persuasive",15:00,https://www.ted.com/talks/alessandro_acquisti_why_privacy_matters
A futuristic vision of the age of holograms,Alex Kipman,Mar 2016,True,"Fascinating, Inspiring",19:05,https://www.ted.com/talks/alex_kipman_the_dawn_of_the_age_of_holograms
How behavioral science can lower your energy bill,Alex Laskey,Jun 2013,True,"Informative, Persuasive",8:11,https://www.ted.com/talks/alex_laskey_how_behavioral_science_can_lower_your_energy_bill
The shareable future of cities,Alex Steffen,Aug 2011,True,"Inspiring, Informative",10:13,https://www.ted.com/talks/alex_steffen
The route to a sustainable future,Alex Steffen,Apr 2007,True,"Inspiring, Informative",17:34,https://www.ted.com/talks/alex_steffen_sees_a_sustainable_future
How ideas trump crises,Alex Tabarrok,Apr 2009,True,"Inspiring, Persuasive",14:33,https://www.ted.com/talks/alex_tabarrok_foresees_economic_growth
A new equation for intelligence,Alex Wissner-Gross,Feb 2014,True,"Fascinating, Informative",11:48,https://www.ted.com/talks/alex_wissner_gross_a_new_equation_for_intelligence
Your body is my canvas,Alexa Meade,Sep 2013,True,"Beautiful, Fascinating",7:04,https://www.ted.com/talks/alexa_meade
Our refugee system is failing. Here's how we can fix it,Alexander Betts,Mar 2016,True,"Inspiring, Informative",18:09,https://www.ted.com/talks/alexander_betts_our_refugee_system_is_failing_here_s_how_we_can_fix_it
Why Brexit happened — and what to do next,Alexander Betts,Jul 2016,True,"Informative, Inspiring",17:22,https://www.ted.com/talks/alexander_betts_why_brexit_happened_and_what_to_do_next
Conception to birth — visualized,Alexander Tsiaras,Nov 2011,True,"Beautiful, Fascinating",9:37,https://www.ted.com/talks/alexander_tsiaras_conception_to_birth_visualized
What really motivates people to be honest in business,Alexander Wagner,Sep 2017,True,"Informative, Inspiring",13:28,https://www.ted.com/talks/alexander_wagner_what_really_motivates_people_to_be_honest_in_business
How record collectors find lost music and preserve our cultural heritage,Alexis Charpentier,Jan 2018,True,"Inspiring, Fascinating",14:29,https://www.ted.com/talks/alexis_charpentier_how_record_collectors_find_lost_music_and_preserve_our_cultural_heritage
How to make a splash in social media,Alexis Ohanian,Dec 2009,True,"Funny, Informative",4:26,https://www.ted.com/talks/alexis_ohanian_how_to_make_a_splash_in_social_media
Gaming to re-engage boys in learning,Ali Carr-Chellman,Jan 2011,True,"Informative, Persuasive",12:30,https://www.ted.com/talks/ali_carr_chellman_gaming_to_re_engage_boys_in_learning
Climate change is happening. Here's how we adapt,Alice Bows-Larkin,Oct 2015,True,"Informative, Persuasive",14:23,https://www.ted.com/talks/alice_bows_larkin_we_re_too_late_to_prevent_climate_change_here_s_how_we_adapt
Is anatomy destiny?,Alice Dreger,Jun 2011,True,"Informative, Fascinating",18:48,https://www.ted.com/talks/alice_dreger_is_anatomy_destiny
How we're priming some kids for college — and others for prison,Alice Goffman,May 2015,True,"Inspiring, Informative",16:04,https://www.ted.com/talks/alice_goffman_college_or_prison_two_destinies_one_blatant_injustice
"Pirates, nurses and other rebel designers",Alice Rawsthorn,May 2016,True,"Informative, Fascinating",11:44,https://www.ted.com/talks/alice_rawsthorn_pirates_nurses_and_other_rebel_designers
An interview with the founders of Black Lives Matter,"Alicia Garza, Patrisse Cullors, Opal Tometi and Mia Birdsong",Nov 2016,True,"Inspiring, Informative",16:05,https://www.ted.com/talks/alicia_garza_patrisse_cullors_and_opal_tometi_an_interview_with_the_founders_of_black_lives_matter
How the news distorts our worldview,Alisa Miller,May 2008,True,"Informative, Persuasive",4:29,https://www.ted.com/talks/alisa_miller_shares_the_news_about_the_news
What do babies think?,Alison Gopnik,Oct 2011,True,"Fascinating, Informative",18:29,https://www.ted.com/talks/alison_gopnik_what_do_babies_think
An unusual glimpse at celebrity,Alison Jackson,Jan 2008,True,"Funny, Fascinating",17:36,https://www.ted.com/talks/alison_jackson_looks_at_celebrity
"There’s a better way to die, and architecture can help",Alison Killing,Mar 2015,True,"Informative, Inspiring",4:39,https://www.ted.com/talks/alison_killing_there_s_a_better_way_to_die_and_architecture_can_help
What happens when a city runs out of room for its dead,Alison Killing,Dec 2015,True,"Informative, Funny",8:49,https://www.ted.com/talks/alison_killing_what_happens_when_a_city_runs_out_of_room_for_its_dead
How I learned to communicate my inner life with Asperger's,Alix Generous,Aug 2015,True,"Inspiring, Courageous",10:26,https://www.ted.com/talks/alix_generous_how_i_learned_to_communicate_my_inner_life_with_asperger_s
The discovery that could rewrite physics,Allan Adams,Apr 2014,True,"Fascinating, Informative",4:42,https://www.ted.com/talks/allan_adams_the_discovery_that_could_rewrite_physics
What the discovery of gravitational waves means,Allan Adams,Feb 2016,True,"Fascinating, Informative",10:58,https://www.ted.com/talks/allan_adams_what_the_discovery_of_gravitational_waves_means
A map of the brain,Allan Jones,Nov 2011,True,"Informative, Fascinating",15:21,https://www.ted.com/talks/allan_jones_a_map_of_the_brain
How to fight desertification and reverse climate change,Allan Savory,Mar 2013,True,"Inspiring, Persuasive",22:19,https://www.ted.com/talks/allan_savory_how_to_green_the_world_s_deserts_and_reverse_climate_change
How to get (a new) hip,Allison Hunt,Jul 2007,True,"Funny, Ingenious",4:48,https://www.ted.com/talks/allison_hunt_gets_a_new_hip
How to inspire every child to be a lifelong reader,Alvin Irby,Mar 2018,True,"Inspiring, Informative",7:27,https://www.ted.com/talks/alvin_irby_how_to_inspire_every_child_to_be_a_lifelong_reader
Art of substance and absence,Alwar Balasubramaniam,Sep 2010,True,"Fascinating, Inspiring",16:51,https://www.ted.com/talks/alwar_balasubramaniam_sculpture_of_substance_and_absence
Why medicine often has dangerous side effects for women,Alyson McGregor,Oct 2015,True,"Informative, Persuasive",15:29,https://www.ted.com/talks/alyson_mcgregor_why_medicine_often_has_dangerous_side_effects_for_women
How loss helped one artist find beauty in imperfection,Alyssa Monks,Oct 2016,True,"Beautiful, Inspiring",13:08,https://www.ted.com/talks/alyssa_monks_how_loss_helped_one_artist_find_beauty_in_imperfection
We need a heroic narrative for death,Amanda Bennett,Oct 2013,True,"Inspiring, Courageous",15:24,https://www.ted.com/talks/amanda_bennett_a_heroic_narrative_for_letting_go
How public spaces make cities work,Amanda Burden,Apr 2014,True,"Inspiring, Informative",18:28,https://www.ted.com/talks/amanda_burden_how_public_spaces_make_cities_work
"""Space Oddity""","Amanda Palmer, Jherek Bischoff and Usman Riaz",Nov 2016,True,"Beautiful, Inspiring",6:09,https://www.ted.com/talks/amanda_palmer_jherek_bischoff_usman_riaz_space_oddity
The art of asking,Amanda Palmer,Mar 2013,True,"Inspiring, Beautiful",13:47,https://www.ted.com/talks/amanda_palmer_the_art_of_asking
The thrilling potential for off-grid solar energy,Amar Inamdar,Jan 2018,True,"Informative, Inspiring",14:28,https://www.ted.com/talks/amar_inamdar_the_thrilling_potential_for_off_grid_solar_energy
We are all cyborgs now,Amber Case,Jan 2011,True,"Fascinating, Informative",7:53,https://www.ted.com/talks/amber_case_we_are_all_cyborgs_now
An interview with Mauritius's first female president,Ameenah Gurib-Fakim and Stephanie Busari,Nov 2017,True,"Inspiring, Informative",18:50,https://www.ted.com/talks/ameenah_gurib_fakim_an_interview_with_mauritius_s_first_female_president
Humble plants that hide surprising secrets,Ameenah Gurib-Fakim,Nov 2014,True,"Informative, Fascinating",14:12,https://www.ted.com/talks/ameenah_gurib_fakim_humble_plants_that_hide_surprising_secrets
Why I put myself in danger to tell the stories of Gaza,Ameera Harouda,Apr 2016,True,"Courageous, Inspiring",8:38,https://www.ted.com/talks/ameera_harouda_why_i_put_myself_in_danger_to_tell_the_stories_of_gaza
The global learning crisis — and what to do about it,Amel Karboul,Nov 2017,True,"Inspiring, Informative",15:09,https://www.ted.com/talks/amel_karboul_the_global_learning_crisis_and_what_to_do_about_it
A new way to diagnose autism,Ami Klin,Jun 2012,True,"Informative, Fascinating",19:44,https://www.ted.com/talks/ami_klin_a_new_way_to_diagnose_autism
How to tame your wandering mind,Amishi Jha,Mar 2018,True,"Informative, Inspiring",18:08,https://www.ted.com/talks/amishi_jha_how_to_tame_your_wandering_mind
3 creative ways to fix fashion's waste problem,Amit Kalra,Feb 2018,True,"Informative, Inspiring",9:47,https://www.ted.com/talks/amit_kalra_3_creative_ways_to_fix_fashion_s_waste_problem
Building a museum of museums on the web,Amit Sood,May 2011,True,"Fascinating, Ingenious",5:35,https://www.ted.com/talks/amit_sood_building_a_museum_of_museums_on_the_web
Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,Jun 2016,True,"Fascinating, Informative",15:00,https://www.ted.com/talks/amit_sood_every_piece_of_art_you_ve_ever_wanted_to_see_up_close_and_searchable
A 40-year plan for energy,Amory Lovins,May 2012,True,"Informative, Persuasive",27:10,https://www.ted.com/talks/amory_lovins_a_50_year_plan_for_energy
Winning the oil endgame,Amory Lovins,Dec 2007,True,"Informative, Persuasive",19:44,https://www.ted.com/talks/amory_lovins_on_winning_the_oil_endgame
The cheap all-terrain wheelchair,Amos Winter,Nov 2012,True,"Ingenious, Inspiring",11:14,https://www.ted.com/talks/amos_winter_the_cheap_all_terrain_wheelchair
How to practice safe sexting,Amy Adele Hasinoff,Feb 2017,True,"Informative, Persuasive",14:25,https://www.ted.com/talks/amy_adele_hasinoff_how_to_practice_safe_sexting
Your body language may shape who you are,Amy Cuddy,Oct 2012,True,"Inspiring, Fascinating",21:02,https://www.ted.com/talks/amy_cuddy_your_body_language_shapes_who_you_are
A video game to cope with grief,Amy Green,Apr 2017,True,"Beautiful, Inspiring",10:34,https://www.ted.com/talks/amy_green_a_video_game_to_cope_with_grief
Selling condoms in the Congo,Amy Lockwood,Sep 2011,True,"Informative, Persuasive",4:16,https://www.ted.com/talks/amy_lockwood_selling_condoms_in_the_congo
Living beyond limits,Amy Purdy,Nov 2011,True,"Inspiring, Courageous",9:44,https://www.ted.com/talks/amy_purdy_living_beyond_limits
Simple designs to save a life,Amy Smith,Aug 2006,True,"Inspiring, Ingenious",15:06,https://www.ted.com/talks/amy_smith_shares_simple_lifesaving_design
Where does creativity hide?,Amy Tan,Apr 2008,True,"Inspiring, Funny",22:52,https://www.ted.com/talks/amy_tan_on_creativity
How I hacked online dating,Amy Webb,Oct 2013,True,"Funny, Ingenious",17:27,https://www.ted.com/talks/amy_webb_how_i_hacked_online_dating
Why we need to imagine different futures,Anab Jain,Jun 2017,True,"Inspiring, Informative",14:41,https://www.ted.com/talks/anab_jain_why_we_need_to_imagine_different_futures
Rethink the desktop with BumpTop,Anand Agarawala,Jun 2007,True,"Ingenious, Funny",4:39,https://www.ted.com/talks/anand_agarawala_demos_his_bumptop_desktop
A letter to all who have lost in this era,Anand Giridharadas,Aug 2016,True,"Inspiring, Beautiful",16:37,https://www.ted.com/talks/anand_giridharadas_a_letter_to_all_who_have_lost_in_this_era
A tale of two Americas. And the mini-mart where they collided,Anand Giridharadas,Mar 2015,True,"Inspiring, Courageous",19:23,https://www.ted.com/talks/anand_giridharadas_a_tale_of_two_americas_and_the_mini_mart_where_they_collided
The first 21 days of a bee's life,Anand Varma,May 2015,True,"Informative, Fascinating",6:06,https://www.ted.com/talks/anand_varma_a_thrilling_look_at_the_first_21_days_of_a_bee_s_life
Fighting cancer with dance,Ananda Shankar Jayant,Jun 2010,True,"Inspiring, Courageous",16:07,https://www.ted.com/talks/ananda_shankar_jayant_fights_cancer_with_a_dance
Why massive open online courses (still) matter,Anant Agarwal,Jan 2014,True,"Inspiring, Informative",15:19,https://www.ted.com/talks/anant_agarwal_why_massively_open_online_courses_still_matter
"How I named, shamed and jailed",Anas Aremeyaw Anas,Jun 2013,True,"Courageous, Inspiring",12:46,https://www.ted.com/talks/anas_aremeyaw_anas_how_i_named_shamed_and_jailed
Fighters and mourners of the Ukrainian revolution,Anastasia Taylor-Lind,Dec 2014,True,"Beautiful, Courageous",6:05,https://www.ted.com/talks/anastasia_taylor_lind_fighters_and_mourners_of_the_ukrainian_revolution
Two nameless bodies washed up on the beach. Here are their stories,Anders Fjellberg,Oct 2015,True,"Informative, Courageous",14:41,https://www.ted.com/talks/anders_fjellberg_two_nameless_bodies_washed_up_on_the_beach_here_are_their_stories
Visualizing the medical data explosion,Anders Ynnerman,Jan 2011,True,"Fascinating, Informative",16:36,https://www.ted.com/talks/anders_ynnerman_visualizing_the_medical_data_explosion
Leather and meat without killing animals,Andras Forgacs,Sep 2013,True,"Fascinating, Ingenious",9:02,https://www.ted.com/talks/andras_forgacs_leather_and_meat_without_killing_animals
The hunt for a supermassive black hole,Andrea Ghez,Dec 2009,True,"Informative, Fascinating",16:26,https://www.ted.com/talks/andrea_ghez_the_hunt_for_a_supermassive_black_hole
The moral bias behind your search results,Andreas Ekström,Nov 2015,True,"Informative, Persuasive",9:18,https://www.ted.com/talks/andreas_ekstrom_the_moral_bias_behind_your_search_results
No roads? There's a drone for that,Andreas Raptopoulos,Nov 2013,True,"Ingenious, Inspiring",9:13,https://www.ted.com/talks/andreas_raptopoulos_no_roads_there_s_a_drone_for_that
Use data to build better schools,Andreas Schleicher,Feb 2013,True,"Informative, Persuasive",19:47,https://www.ted.com/talks/andreas_schleicher_use_data_to_build_better_schools
"Parkinson's, depression and the switch that might turn them off",Andres Lozano,Apr 2013,True,"Fascinating, Informative",15:34,https://www.ted.com/talks/andres_lozano_parkinson_s_depression_and_the_switch_that_might_turn_them_off
The boiling river of the Amazon,Andrés Ruzo,Feb 2016,True,"Inspiring, Fascinating",15:49,https://www.ted.com/talks/andres_ruzo_the_mythical_boiling_river_of_the_amazon
Get your next eye exam on a smartphone,Andrew Bastawrous,Apr 2014,True,"Inspiring, Ingenious",6:33,https://www.ted.com/talks/andrew_bastawrous_get_your_next_eye_exam_on_a_smartphone
A one-man orchestra of the imagination,Andrew Bird,Nov 2010,True,"Beautiful, Inspiring",19:19,https://www.ted.com/talks/andrew_bird_s_one_man_orchestra_of_the_imagination
Discover the physical side of the internet,Andrew Blum,Sep 2012,True,"Informative, Fascinating",11:59,https://www.ted.com/talks/andrew_blum_what_is_the_internet_really
What's the next window into our universe?,Andrew Connolly,Sep 2014,True,"Informative, Fascinating",17:39,https://www.ted.com/talks/andrew_connolly_what_s_the_next_window_into_our_universe
"To eliminate waste, we need to rediscover thrift",Andrew Dent,Apr 2018,True,"Informative, Persuasive",10:34,https://www.ted.com/talks/andrew_dent_to_eliminate_waste_we_need_to_rediscover_thrift
Adventures in Twitter fiction,Andrew Fitzgerald,Oct 2013,True,"Informative, Fascinating",11:55,https://www.ted.com/talks/andrew_fitzgerald_adventures_in_twitter_fiction
Are droids taking our jobs?,Andrew McAfee,Sep 2012,True,"Informative, Persuasive",14:07,https://www.ted.com/talks/andrew_mcafee_are_droids_taking_our_jobs
What will future jobs look like?,Andrew McAfee,Jun 2013,True,"Informative, Persuasive",14:15,https://www.ted.com/talks/andrew_mcafee_what_will_future_jobs_look_like
Aid for Africa? No thanks.,Andrew Mwenda,Sep 2007,True,"Persuasive, Informative",17:07,https://www.ted.com/talks/andrew_mwenda_takes_a_new_look_at_africa
This scientist makes ears out of apples,Andrew Pelling,Jun 2016,True,"Ingenious, Fascinating",7:05,https://www.ted.com/talks/andrew_pelling_this_scientist_makes_ears_out_of_apples
"Depression, the secret we share",Andrew Solomon,Dec 2013,True,"Inspiring, Courageous",29:21,https://www.ted.com/talks/andrew_solomon_depression_the_secret_we_share
How the worst moments in our lives make us who we are,Andrew Solomon,May 2014,True,"Inspiring, Beautiful",20:27,https://www.ted.com/talks/andrew_solomon_how_the_worst_moments_in_our_lives_make_us_who_we_are
"Love, no matter what",Andrew Solomon,Jun 2013,True,"Inspiring, Beautiful",23:27,https://www.ted.com/talks/andrew_solomon_love_no_matter_what
The clues to a great story,Andrew Stanton,Mar 2012,True,"Inspiring, Fascinating",19:16,https://www.ted.com/talks/andrew_stanton_the_clues_to_a_great_story
3 reasons why we can win the fight against poverty,Andrew Youn,Jun 2016,True,"Inspiring, Persuasive",13:14,https://www.ted.com/talks/andrew_youn_3_reasons_why_we_can_win_the_fight_against_poverty
Do the green thing,Andy Hobsbawm,Nov 2008,True,"Funny, Inspiring",3:22,https://www.ted.com/talks/andy_hobsbawm_says_do_the_green_thing
All it takes is 10 mindful minutes,Andy Puddicombe,Jan 2013,True,"Inspiring, Informative",9:24,https://www.ted.com/talks/andy_puddicombe_all_it_takes_is_10_mindful_minutes
Think your email's private? Think again,Andy Yen,Mar 2015,True,"Informative, Persuasive",12:09,https://www.ted.com/talks/andy_yen_think_your_email_s_private_think_again
Using nature to grow batteries,Angela Belcher,Apr 2011,True,"Ingenious, Fascinating",10:25,https://www.ted.com/talks/angela_belcher_using_nature_to_grow_batteries
